"DATE","PRODUCT","WEIGHTED_AVG_IN_EURO"
"2021-07-05","ELECTRICITY","0.2655"
"2021-07-06","ELECTRICITY","0.2655"
"2021-07-07","ELECTRICITY","0.2660"
"2021-07-08","ELECTRICITY","0.2649"
"2021-07-09","ELECTRICITY","0.2608"
"2021-07-10","ELECTRICITY","0.2656"
"2021-07-11","ELECTRICITY","0.2656"
"2021-07-12","ELECTRICITY","0.2656"
"2021-07-13","ELECTRICITY","0.2657"
"2021-07-14","ELECTRICITY","0.2658"
"2021-07-15","ELECTRICITY","0.2659"
"2021-07-16","ELECTRICITY","0.2661"
"2021-07-17","ELECTRICITY","0.2661"
"2021-07-18","ELECTRICITY","0.2661"
"2021-07-19","ELECTRICITY","0.2661"
"2021-07-20","ELECTRICITY","0.2662"
"2021-07-21","ELECTRICITY","0.2664"
"2021-07-22","ELECTRICITY","0.2677"
"2021-07-23","ELECTRICITY","0.2683"
"2021-07-24","ELECTRICITY","0.2683"
"2021-07-25","ELECTRICITY","0.2683"
"2021-07-26","ELECTRICITY","0.2683"
"2021-07-27","ELECTRICITY","0.2683"
"2021-07-28","ELECTRICITY","0.2683"
"2021-07-29","ELECTRICITY","0.2686"
"2021-07-30","ELECTRICITY","0.2686"
"2021-07-31","ELECTRICITY","0.2686"
"2021-08-01","ELECTRICITY","0.2686"
"2021-08-02","ELECTRICITY","0.2686"
"2021-08-03","ELECTRICITY","0.2687"
"2021-08-04","ELECTRICITY","0.2687"
"2021-08-05","ELECTRICITY","0.2687"
"2021-08-06","ELECTRICITY","0.2689"
"2021-08-07","ELECTRICITY","0.2689"
"2021-08-08","ELECTRICITY","0.2689"
"2021-08-09","ELECTRICITY","0.2689"
"2021-08-10","ELECTRICITY","0.2690"
"2021-08-11","ELECTRICITY","0.2697"
"2021-08-12","ELECTRICITY","0.2697"
"2021-08-13","ELECTRICITY","0.2700"
"2021-08-14","ELECTRICITY","0.2710"
"2021-08-15","ELECTRICITY","0.2710"
"2021-08-16","ELECTRICITY","0.2710"
"2021-08-17","ELECTRICITY","0.2714"
"2021-08-18","ELECTRICITY","0.2715"
"2021-08-19","ELECTRICITY","0.2716"
"2021-08-20","ELECTRICITY","0.2717"
"2021-08-21","ELECTRICITY","0.2720"
"2021-08-22","ELECTRICITY","0.2720"
"2021-08-23","ELECTRICITY","0.2720"
"2021-08-24","ELECTRICITY","0.2722"
"2021-08-25","ELECTRICITY","0.2722"
"2021-08-26","ELECTRICITY","0.2724"
"2021-08-27","ELECTRICITY","0.2727"
"2021-08-28","ELECTRICITY","0.2728"
"2021-08-29","ELECTRICITY","0.2728"
"2021-08-30","ELECTRICITY","0.2728"
"2021-08-31","ELECTRICITY","0.2731"
"2021-09-01","ELECTRICITY","0.2731"
"2021-09-02","ELECTRICITY","0.2731"
"2021-09-03","ELECTRICITY","0.2731"
"2021-09-04","ELECTRICITY","0.2734"
"2021-09-05","ELECTRICITY","0.2734"
"2021-09-06","ELECTRICITY","0.2734"
"2021-09-07","ELECTRICITY","0.2737"
"2021-09-08","ELECTRICITY","0.2740"
"2021-09-09","ELECTRICITY","0.2740"
"2021-09-10","ELECTRICITY","0.2741"
"2021-09-11","ELECTRICITY","0.2741"
"2021-09-12","ELECTRICITY","0.2741"
"2021-09-13","ELECTRICITY","0.2741"
"2021-09-14","ELECTRICITY","0.2746"
"2021-09-15","ELECTRICITY","0.2758"
"2021-09-16","ELECTRICITY","0.2764"
"2021-09-17","ELECTRICITY","0.2766"
"2021-09-18","ELECTRICITY","0.2771"
"2021-09-19","ELECTRICITY","0.2771"
"2021-09-20","ELECTRICITY","0.2771"
"2021-09-21","ELECTRICITY","0.2771"
"2021-09-22","ELECTRICITY","0.2778"
"2021-09-23","ELECTRICITY","0.2786"
"2021-09-24","ELECTRICITY","0.2794"
"2021-09-25","ELECTRICITY","0.2784"
"2021-09-26","ELECTRICITY","0.2784"
"2021-09-27","ELECTRICITY","0.2784"
"2021-09-28","ELECTRICITY","0.2800"
"2021-09-29","ELECTRICITY","0.2800"
"2021-09-30","ELECTRICITY","0.2807"
"2021-10-01","ELECTRICITY","0.2827"
"2021-10-02","ELECTRICITY","0.2833"
"2021-10-03","ELECTRICITY","0.2833"
"2021-10-04","ELECTRICITY","0.2833"
"2021-10-05","ELECTRICITY","0.2843"
"2021-10-06","ELECTRICITY","0.2872"
"2021-10-07","ELECTRICITY","0.2967"
"2021-10-08","ELECTRICITY","0.2988"
"2021-10-09","ELECTRICITY","0.2995"
"2021-10-10","ELECTRICITY","0.2995"
"2021-10-11","ELECTRICITY","0.2995"
"2021-10-12","ELECTRICITY","0.3111"
"2021-10-13","ELECTRICITY","0.3179"
"2021-10-14","ELECTRICITY","0.3214"
"2021-10-15","ELECTRICITY","0.3342"
"2021-10-16","ELECTRICITY","0.3243"
"2021-10-17","ELECTRICITY","0.3243"
"2021-10-18","ELECTRICITY","0.3243"
"2021-10-19","ELECTRICITY","0.3237"
"2021-10-20","ELECTRICITY","0.3237"
"2021-10-21","ELECTRICITY","0.3186"
"2021-10-22","ELECTRICITY","0.3187"
"2021-10-23","ELECTRICITY","0.3187"
"2021-10-24","ELECTRICITY","0.3187"
"2021-10-25","ELECTRICITY","0.3187"
"2021-10-26","ELECTRICITY","0.3187"
"2021-10-27","ELECTRICITY","0.3247"
"2021-10-28","ELECTRICITY","0.3270"
"2021-10-29","ELECTRICITY","0.3276"
"2021-10-30","ELECTRICITY","0.3275"
"2021-10-31","ELECTRICITY","0.3275"
"2021-11-01","ELECTRICITY","0.3275"
"2021-11-02","ELECTRICITY","0.3275"
"2021-11-03","ELECTRICITY","0.3274"
"2021-11-04","ELECTRICITY","0.3273"
"2021-11-05","ELECTRICITY","0.3270"
"2021-11-06","ELECTRICITY","0.3274"
"2021-11-07","ELECTRICITY","0.3274"
"2021-11-08","ELECTRICITY","0.3274"
"2021-11-09","ELECTRICITY","0.3396"
"2021-11-10","ELECTRICITY","0.3268"
"2021-11-11","ELECTRICITY","0.3268"
"2021-11-12","ELECTRICITY","0.3268"
"2021-11-13","ELECTRICITY","0.3348"
"2021-11-14","ELECTRICITY","0.3348"
"2021-11-15","ELECTRICITY","0.3348"
"2021-11-16","ELECTRICITY","0.3407"
"2021-11-17","ELECTRICITY","0.3394"
"2021-11-18","ELECTRICITY","0.3395"
"2021-11-19","ELECTRICITY","0.3402"
"2021-11-20","ELECTRICITY","0.3391"
"2021-11-21","ELECTRICITY","0.3391"
"2021-11-22","ELECTRICITY","0.3391"
"2021-11-23","ELECTRICITY","0.3394"
"2021-11-24","ELECTRICITY","0.3391"
"2021-11-25","ELECTRICITY","0.3398"
"2021-11-26","ELECTRICITY","0.3401"
"2021-11-27","ELECTRICITY","0.3399"
"2021-11-28","ELECTRICITY","0.3399"
"2021-11-29","ELECTRICITY","0.3399"
"2021-11-30","ELECTRICITY","0.3398"
"2021-12-01","ELECTRICITY","0.3405"
"2021-12-02","ELECTRICITY","0.3405"
"2021-12-03","ELECTRICITY","0.3177"
"2021-12-04","ELECTRICITY","0.3409"
"2021-12-05","ELECTRICITY","0.3409"
"2021-12-06","ELECTRICITY","0.3409"
"2021-12-07","ELECTRICITY","0.3316"
"2021-12-08","ELECTRICITY","0.3413"
"2021-12-09","ELECTRICITY","0.3414"
"2021-12-10","ELECTRICITY","0.3417"
"2021-12-11","ELECTRICITY","0.3401"
"2021-12-12","ELECTRICITY","0.3401"
"2021-12-13","ELECTRICITY","0.3410"
"2021-12-14","ELECTRICITY","0.3411"
"2021-12-15","ELECTRICITY","0.3434"
"2021-12-16","ELECTRICITY","0.3434"
"2021-12-17","ELECTRICITY","0.3436"
"2021-12-18","ELECTRICITY","0.3431"
"2021-12-19","ELECTRICITY","0.3431"
"2021-12-20","ELECTRICITY","0.3431"
"2021-12-21","ELECTRICITY","0.3602"
"2021-12-22","ELECTRICITY","0.3609"
"2021-12-23","ELECTRICITY","0.3686"
"2021-12-24","ELECTRICITY","0.4123"
"2021-12-25","ELECTRICITY","0.4123"
"2021-12-26","ELECTRICITY","0.4123"
"2021-12-27","ELECTRICITY","0.4123"
"2021-12-28","ELECTRICITY","0.4308"
"2021-12-29","ELECTRICITY","0.4398"
"2021-12-30","ELECTRICITY","0.4574"
"2021-12-31","ELECTRICITY","0.4749"
"2022-01-01","ELECTRICITY","0.4750"
"2022-01-02","ELECTRICITY","0.4750"
"2022-01-03","ELECTRICITY","0.4750"
"2022-01-04","ELECTRICITY","0.4708"
"2022-01-05","ELECTRICITY","0.4708"
"2022-01-06","ELECTRICITY","0.4704"
"2022-01-07","ELECTRICITY","0.4683"
"2022-01-08","ELECTRICITY","0.4693"
"2022-01-09","ELECTRICITY","0.4693"
"2022-01-10","ELECTRICITY","0.4693"
"2022-01-11","ELECTRICITY","0.4652"
"2022-01-12","ELECTRICITY","0.4652"
"2022-01-13","ELECTRICITY","0.4632"
"2022-01-14","ELECTRICITY","0.4587"
"2022-01-15","ELECTRICITY","0.4327"
"2022-01-16","ELECTRICITY","0.4327"
"2022-01-17","ELECTRICITY","0.4327"
"2022-01-18","ELECTRICITY","0.4316"
"2022-01-19","ELECTRICITY","0.4317"
"2022-01-20","ELECTRICITY","0.4284"
"2022-01-21","ELECTRICITY","0.4279"
"2022-01-22","ELECTRICITY","0.4053"
"2022-01-23","ELECTRICITY","0.4053"
"2022-01-24","ELECTRICITY","0.4053"
"2022-01-25","ELECTRICITY","0.4052"
"2022-01-26","ELECTRICITY","0.4115"
"2022-01-27","ELECTRICITY","0.4141"
"2022-01-28","ELECTRICITY","0.4144"
"2022-01-29","ELECTRICITY","0.4076"
"2022-01-30","ELECTRICITY","0.4076"
"2022-01-31","ELECTRICITY","0.4073"
"2022-02-01","ELECTRICITY","0.4142"
"2022-02-02","ELECTRICITY","0.4120"
"2022-02-03","ELECTRICITY","0.4094"
"2022-02-04","ELECTRICITY","0.4093"
"2022-02-05","ELECTRICITY","0.4094"
"2022-02-06","ELECTRICITY","0.4094"
"2022-02-07","ELECTRICITY","0.4094"
"2022-02-08","ELECTRICITY","0.4097"
"2022-02-09","ELECTRICITY","0.4088"
"2022-02-10","ELECTRICITY","0.3850"
"2022-02-11","ELECTRICITY","0.4047"
"2022-02-12","ELECTRICITY","0.3885"
"2022-02-13","ELECTRICITY","0.3885"
"2022-02-14","ELECTRICITY","0.3885"
"2022-02-15","ELECTRICITY","0.3782"
"2022-02-16","ELECTRICITY","0.3775"
"2022-02-17","ELECTRICITY","0.3764"
"2022-02-18","ELECTRICITY","0.3774"
"2022-02-19","ELECTRICITY","0.3705"
"2022-02-20","ELECTRICITY","0.3705"
"2022-02-21","ELECTRICITY","0.3705"
"2022-02-22","ELECTRICITY","0.3715"
"2022-02-23","ELECTRICITY","0.3704"
"2022-02-24","ELECTRICITY","0.3697"
"2022-02-25","ELECTRICITY","0.3741"
"2022-02-26","ELECTRICITY","0.3825"
"2022-02-27","ELECTRICITY","0.3825"
"2022-02-28","ELECTRICITY","0.3825"
"2022-03-01","ELECTRICITY","0.3827"
"2022-03-02","ELECTRICITY","0.3829"
"2022-03-03","ELECTRICITY","0.3820"
"2022-03-04","ELECTRICITY","0.4030"
"2022-03-05","ELECTRICITY","0.4195"
"2022-03-06","ELECTRICITY","0.4195"
"2022-03-07","ELECTRICITY","0.4195"
"2022-03-08","ELECTRICITY","0.4195"
"2022-03-09","ELECTRICITY","0.4196"
"2022-03-10","ELECTRICITY","0.4422"
"2022-03-11","ELECTRICITY","0.4470"
"2022-03-12","ELECTRICITY","0.4497"
"2022-03-13","ELECTRICITY","0.4497"
"2022-03-14","ELECTRICITY","0.4497"
"2022-03-15","ELECTRICITY","0.4497"
"2022-03-16","ELECTRICITY","0.4897"
"2022-03-17","ELECTRICITY","0.4839"
"2022-03-18","ELECTRICITY","0.4787"
"2022-03-19","ELECTRICITY","0.4752"
"2022-03-20","ELECTRICITY","0.4752"
"2022-03-21","ELECTRICITY","0.4752"
"2022-03-22","ELECTRICITY","0.4694"
"2022-03-23","ELECTRICITY","0.4663"
"2022-03-24","ELECTRICITY","0.4667"
"2022-03-25","ELECTRICITY","0.4644"
"2022-03-26","ELECTRICITY","0.4644"
"2022-03-27","ELECTRICITY","0.4644"
"2022-03-28","ELECTRICITY","0.4644"
"2022-03-29","ELECTRICITY","0.4573"
"2022-03-30","ELECTRICITY","0.4573"
"2022-03-31","ELECTRICITY","0.4675"
"2022-04-01","ELECTRICITY","0.4692"
"2022-04-02","ELECTRICITY","0.4693"
"2022-04-03","ELECTRICITY","0.4693"
"2022-04-04","ELECTRICITY","0.4692"
"2022-04-05","ELECTRICITY","0.4680"
"2022-04-06","ELECTRICITY","0.4643"
"2022-04-07","ELECTRICITY","0.4642"
"2022-04-08","ELECTRICITY","0.4640"
"2022-04-09","ELECTRICITY","0.4638"
"2022-04-10","ELECTRICITY","0.4638"
"2022-04-11","ELECTRICITY","0.4638"
"2022-04-12","ELECTRICITY","0.4629"
"2022-04-13","ELECTRICITY","0.4627"
"2022-04-14","ELECTRICITY","0.4588"
"2022-04-15","ELECTRICITY","0.4567"
"2022-04-16","ELECTRICITY","0.4567"
"2022-04-17","ELECTRICITY","0.4567"
"2022-04-18","ELECTRICITY","0.4567"
"2022-04-19","ELECTRICITY","0.4567"
"2022-04-20","ELECTRICITY","0.4544"
"2022-04-21","ELECTRICITY","0.4533"
"2022-04-22","ELECTRICITY","0.4522"
"2022-04-23","ELECTRICITY","0.4501"
"2022-04-24","ELECTRICITY","0.4501"
"2022-04-25","ELECTRICITY","0.4501"
"2022-04-26","ELECTRICITY","0.4488"
"2022-04-27","ELECTRICITY","0.4460"
"2022-04-28","ELECTRICITY","0.4439"
"2022-04-29","ELECTRICITY","0.4412"
"2022-04-30","ELECTRICITY","0.4383"
"2022-05-01","ELECTRICITY","0.4383"
"2022-05-02","ELECTRICITY","0.4383"
"2022-05-03","ELECTRICITY","0.4358"
"2022-05-04","ELECTRICITY","0.4331"
"2022-05-05","ELECTRICITY","0.4307"
"2022-05-06","ELECTRICITY","0.4287"
"2022-05-07","ELECTRICITY","0.4224"
"2022-05-08","ELECTRICITY","0.4224"
"2022-05-09","ELECTRICITY","0.4224"
"2022-05-10","ELECTRICITY","0.4207"
"2022-05-11","ELECTRICITY","0.4195"
"2022-05-12","ELECTRICITY","0.4175"
"2022-05-13","ELECTRICITY","0.4154"
"2022-05-14","ELECTRICITY","0.4135"
"2022-05-15","ELECTRICITY","0.4135"
"2022-05-16","ELECTRICITY","0.4135"
"2022-05-17","ELECTRICITY","0.4111"
"2022-05-18","ELECTRICITY","0.4094"
"2022-05-19","ELECTRICITY","0.4066"
"2022-05-20","ELECTRICITY","0.4049"
"2022-05-21","ELECTRICITY","0.4043"
"2022-05-22","ELECTRICITY","0.4043"
"2022-05-23","ELECTRICITY","0.4043"
"2022-05-24","ELECTRICITY","0.4039"
"2022-05-25","ELECTRICITY","0.4002"
"2022-05-26","ELECTRICITY","0.3967"
"2022-05-27","ELECTRICITY","0.3967"
"2022-05-28","ELECTRICITY","0.3941"
"2022-05-29","ELECTRICITY","0.3941"
"2022-05-30","ELECTRICITY","0.3941"
"2022-05-31","ELECTRICITY","0.3932"
"2022-06-01","ELECTRICITY","0.3889"
"2022-06-02","ELECTRICITY","0.3878"
"2022-06-03","ELECTRICITY","0.3870"
"2022-06-04","ELECTRICITY","0.3832"
"2022-06-05","ELECTRICITY","0.3832"
"2022-06-06","ELECTRICITY","0.3832"
"2022-06-07","ELECTRICITY","0.3832"
"2022-06-08","ELECTRICITY","0.3813"
"2022-06-09","ELECTRICITY","0.3796"
"2022-06-10","ELECTRICITY","0.3780"
"2022-06-11","ELECTRICITY","0.3739"
"2022-06-12","ELECTRICITY","0.3739"
"2022-06-13","ELECTRICITY","0.3739"
"2022-06-14","ELECTRICITY","0.3714"
"2022-06-15","ELECTRICITY","0.3696"
"2022-06-16","ELECTRICITY","0.3658"
"2022-06-17","ELECTRICITY","0.3658"
"2022-06-18","ELECTRICITY","0.3641"
"2022-06-19","ELECTRICITY","0.3641"
"2022-06-20","ELECTRICITY","0.3641"
"2022-06-21","ELECTRICITY","0.3638"
"2022-06-22","ELECTRICITY","0.3611"
"2022-06-23","ELECTRICITY","0.3613"
"2022-06-24","ELECTRICITY","0.3592"
"2022-06-25","ELECTRICITY","0.3596"
"2022-06-26","ELECTRICITY","0.3596"
"2022-06-27","ELECTRICITY","0.3596"
"2022-06-28","ELECTRICITY","0.3608"
"2022-06-29","ELECTRICITY","0.3621"
"2022-06-30","ELECTRICITY","0.3613"
"2022-07-01","ELECTRICITY","0.3623"
"2022-07-02","ELECTRICITY","0.3881"
"2022-07-03","ELECTRICITY","0.3881"
"2022-07-04","ELECTRICITY","0.3625"
"2022-07-05","ELECTRICITY","0.3818"
"2022-07-06","ELECTRICITY","0.3677"
"2022-07-07","ELECTRICITY","0.3678"
"2022-07-08","ELECTRICITY","0.3847"
"2022-07-09","ELECTRICITY","0.3849"
"2022-07-10","ELECTRICITY","0.3849"
"2022-07-11","ELECTRICITY","0.3850"
"2022-07-12","ELECTRICITY","0.3940"
"2022-07-13","ELECTRICITY","0.3947"
"2022-07-14","ELECTRICITY","0.3948"
"2022-07-15","ELECTRICITY","0.3949"
"2022-07-16","ELECTRICITY","0.3949"
"2022-07-17","ELECTRICITY","0.3949"
"2022-07-18","ELECTRICITY","0.3949"
"2022-07-19","ELECTRICITY","0.3950"
"2022-07-20","ELECTRICITY","0.3948"
"2022-07-21","ELECTRICITY","0.3948"
"2022-07-22","ELECTRICITY","0.3950"
"2022-07-23","ELECTRICITY","0.3950"
"2022-07-24","ELECTRICITY","0.3950"
"2022-07-25","ELECTRICITY","0.3950"
"2022-07-26","ELECTRICITY","0.3950"
"2022-07-27","ELECTRICITY","0.3950"
"2022-07-28","ELECTRICITY","0.3950"
"2022-07-29","ELECTRICITY","0.3950"
"2022-07-30","ELECTRICITY","0.4226"
"2022-07-31","ELECTRICITY","0.4226"
"2022-08-01","ELECTRICITY","0.4221"
"2022-08-02","ELECTRICITY","0.4830"
"2022-08-03","ELECTRICITY","0.4846"
"2022-08-04","ELECTRICITY","0.4932"
"2022-08-05","ELECTRICITY","0.4941"
"2022-08-06","ELECTRICITY","0.4984"
"2022-08-07","ELECTRICITY","0.4984"
"2022-08-08","ELECTRICITY","0.4984"
"2022-08-09","ELECTRICITY","0.4984"
"2022-08-10","ELECTRICITY","0.4985"
"2022-08-11","ELECTRICITY","0.4989"
"2022-08-12","ELECTRICITY","0.5157"
"2022-08-13","ELECTRICITY","0.5236"
"2022-08-14","ELECTRICITY","0.5236"
"2022-08-15","ELECTRICITY","0.5236"
"2022-08-16","ELECTRICITY","0.5295"
"2022-08-17","ELECTRICITY","0.5297"
"2022-08-18","ELECTRICITY","0.5307"
"2022-08-19","ELECTRICITY","0.5308"
"2022-08-20","ELECTRICITY","0.5308"
"2022-08-21","ELECTRICITY","0.5308"
"2022-08-22","ELECTRICITY","0.5308"
"2022-08-23","ELECTRICITY","0.5308"
"2022-08-24","ELECTRICITY","0.5317"
"2022-08-25","ELECTRICITY","0.5206"
"2022-08-26","ELECTRICITY","0.5203"
"2022-08-27","ELECTRICITY","0.5331"
"2022-08-28","ELECTRICITY","0.5331"
"2022-08-29","ELECTRICITY","0.5331"
